"Site1","Species1","Phase1","Date1","EndTime1","Site2","Species2","Phase2","Date2","EndTime2","BA95","SL1","HAR1","SL2","HAR2","days","diff.sl"
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Sciseri","TP","2021-06-22","110616.gpx",0.540924315205256,15,NA,18,2,13,3
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Sctaeniopterus","TP","2021-06-13","110953.gpx",0.0653054009978158,15,NA,21,2,22,6
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Sctaeniopterus","TP","2021-06-13","113339.gpx",0.507520206590442,15,NA,20,2,22,5
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Scvetula","IP","2021-06-27","105404.gpx",0.138028549575653,15,NA,20,NA,8,5
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Scvetula","TP","2021-06-08","113800.gpx",0.250897299886461,15,NA,33,2,27,18
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Spaurofrenatum","IP","2021-06-29","111557.gpx",0.0805010120465052,15,NA,15,NA,6,0
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Spaurofrenatum","IP","2021-06-29","114116.gpx",0.136302958441919,15,NA,16,NA,6,1
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Spaurofrenatum","TP","2021-06-19","124852.gpx",0.114280230915661,15,NA,17,2,16,2
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Spaurofrenatum","TP","2021-06-19","131334.gpx",0.0327468453305969,15,NA,18,3,16,3
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Spviride","IP","2021-06-25","131349.gpx",0.159985876209661,15,NA,21,NA,10,6
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Spviride","TP","2021-05-23","152353.gpx",0.195694384849814,15,NA,30,3,43,15
"AQ","Sciseri","IP","2021-07-05","111446.gpx","AQ","Spviride","TP","2021-07-17","114654.gpx",0.00667669960711378,15,NA,30,3,12,15
"AQ","Sciseri","IP","2021-07-05","114030.gpx","AQ","Sctaeniopterus","IP","2021-07-06","145859.gpx",0.117566047647808,14,NA,18,NA,1,4
"AQ","Sciseri","IP","2021-07-05","114030.gpx","AQ","Sctaeniopterus","TP","2021-06-13","104650.gpx",0.123132886424216,14,NA,20,2,22,6
"AQ","Sciseri","IP","2021-07-05","114030.gpx","AQ","Sctaeniopterus","TP","2021-06-13","115538.gpx",0.0306530423611922,14,NA,21,4,22,7
"AQ","Sciseri","IP","2021-07-05","114030.gpx","AQ","Scvetula","IP","2021-06-27","105404.gpx",0.0653994379970425,14,NA,20,NA,8,6
"AQ","Sciseri","IP","2021-07-05","114030.gpx","AQ","Spaurofrenatum","IP","2021-06-29","111557.gpx",0.0351650853586482,14,NA,15,NA,6,1
"AQ","Sciseri","IP","2021-07-05","114030.gpx","AQ","Spaurofrenatum","TP","2021-06-19","124852.gpx",0.103254007624414,14,NA,17,2,16,3
"AQ","Sciseri","IP","2021-07-05","114030.gpx","AQ","Spviride","IP","2021-06-25","131349.gpx",0.0637475092535215,14,NA,21,NA,10,7
"AQ","Sciseri","IP","2021-07-05","114030.gpx","AQ","Spviride","TP","2021-05-23","152353.gpx",0.0718244941569064,14,NA,30,3,43,16
"AQ","Sciseri","IP","2021-07-05","114030.gpx","AQ","Spviride","TP","2021-07-17","114654.gpx",0.103810664649271,14,NA,30,3,12,16
"AQ","Sciseri","IP","2021-07-05","114030.gpx","AQ","Spviride","TP","2021-07-17","121344.gpx",0.00332510368448269,14,NA,29,2,12,15
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Sciseri","TP","2021-06-22","110616.gpx",0.0979187996275782,16,NA,18,2,13,2
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Sciseri","TP","2021-06-22","113048.gpx",0.457808266092467,16,NA,17,1,13,1
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Sctaeniopterus","IP","2021-07-06","140955.gpx",0.120330330916224,16,NA,16,NA,1,0
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Sctaeniopterus","IP","2021-07-06","143600.gpx",0.0675142255737684,16,NA,17,NA,1,1
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Sctaeniopterus","TP","2021-06-13","135724.gpx",0.238310227993021,16,NA,19,2,22,3
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Sctaeniopterus","TP","2021-06-13","142110.gpx",0.63698577174075,16,NA,21,4,22,5
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Sctaeniopterus","TP","2021-06-13","144603.gpx",0.363820452827699,16,NA,20,2,22,4
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Scvetula","IP","2021-06-27","111929.gpx",0.205362011050165,16,NA,22,NA,8,6
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Scvetula","TP","2021-06-08","113800.gpx",0.0251588528241765,16,NA,33,2,27,17
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Scvetula","TP","2021-06-08","120514.gpx",0.350345952345036,16,NA,33,2,27,17
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Scvetula","TP","2021-06-08","123209.gpx",0.0703223970542796,16,NA,32,2,27,16
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Scvetula","TP","2021-06-08","145549.gpx",0.00483663937285047,16,NA,33,2,27,17
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Spaurofrenatum","IP","2021-06-27","150508.gpx",0.138499809844553,16,NA,13,NA,8,3
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Spaurofrenatum","IP","2021-06-29","114116.gpx",0.330318472421804,16,NA,16,NA,6,0
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Spaurofrenatum","TP","2021-06-19","131334.gpx",0.413806207758233,16,NA,18,3,16,2
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Spaurofrenatum","TP","2021-06-19","134230.gpx",0.331018120480413,16,NA,17,1,16,1
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Spviride","IP","2021-06-25","133811.gpx",0.411640927598693,16,NA,20,NA,10,4
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Spviride","TP","2021-05-23","104912.gpx",0.438225666429263,16,NA,31,4,43,15
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Spviride","TP","2021-07-17","121344.gpx",0.113991504875971,16,NA,29,2,12,13
"AQ","Sciseri","IP","2021-07-05","120618.gpx","AQ","Spviride","TP","2021-07-17","123824.gpx",0.181873612516975,16,NA,31,4,12,15
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Sciseri","IP","2021-07-05","140152.gpx",0.219885890437525,13,NA,17,NA,0,4
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Sciseri","NTP","2021-06-21","142649.gpx",0.423270873635328,13,NA,18,NA,14,5
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Sciseri","TP","2021-06-22","115612.gpx",0.272601951304914,13,NA,18,7,13,5
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Sctaeniopterus","TP","2021-06-14","110902.gpx",0.165903451534311,13,NA,21,3,21,8
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Sctaeniopterus","TP","2021-06-14","135125.gpx",0.266068512883316,13,NA,20,3,21,7
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Sctaeniopterus","TP","2021-06-17","103428.gpx",0.00661089308267802,13,NA,20,3,18,7
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Scvetula","IP","2021-06-27","114320.gpx",0.381256689466287,13,NA,20,NA,8,7
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Scvetula","IP","2021-06-27","120704.gpx",0.0581020215438361,13,NA,23,NA,8,10
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Scvetula","TP","2021-06-08","143112.gpx",0.0334746674878043,13,NA,32,2,27,19
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Scvetula","TP","2021-06-08","145549.gpx",0.177906237271825,13,NA,33,2,27,20
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Scvetula","TP","2021-06-08","152401.gpx",0.0403631922907577,13,NA,32,3,27,19
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Spaurofrenatum","IP","2021-06-27","144110.gpx",0.279301501659407,13,NA,12,NA,8,1
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Spaurofrenatum","TP","2021-06-19","150330.gpx",0.140345926522073,13,NA,17,3,16,4
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Spaurofrenatum","TP","2021-06-19","152807.gpx",0.414929294935112,13,NA,18,3,16,5
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Spaurofrenatum","TP","2021-06-19","155228.gpx",0.457531392075667,13,NA,17,3,16,4
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Spviride","IP","2021-06-25","140238.gpx",0.538430174693102,13,NA,21,NA,10,8
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Spviride","TP","2021-05-23","112128.gpx",0.449559349866658,13,NA,30,5,43,17
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Spviride","TP","2021-05-23","125622.gpx",0.0520380301865266,13,NA,30,5,43,17
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Spviride","TP","2021-07-17","141313.gpx",0.431067162357147,13,NA,30,5,12,17
"AQ","Sciseri","IP","2021-07-05","133721.gpx","AQ","Spviride","TP","2021-07-17","144051.gpx",0.00312191354550721,13,NA,29,5,12,16
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Sciseri","NTP","2021-06-21","142649.gpx",0.222651657512273,17,NA,18,NA,14,1
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Sciseri","TP","2021-06-22","115612.gpx",0.249691935379099,17,NA,18,7,13,1
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Sctaeniopterus","TP","2021-06-14","135125.gpx",0.503137333617481,17,NA,20,3,21,3
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Sctaeniopterus","TP","2021-06-14","141427.gpx",0.00720821605424634,17,NA,21,4,21,4
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Sctaeniopterus","TP","2021-06-17","103428.gpx",0.121506972943419,17,NA,20,3,18,3
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Scvetula","IP","2021-06-27","120704.gpx",0.539886357125938,17,NA,23,NA,8,6
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Scvetula","TP","2021-06-08","143112.gpx",0.00240478146016621,17,NA,32,2,27,15
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Scvetula","TP","2021-06-08","152401.gpx",0.395913725249745,17,NA,32,3,27,15
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Spaurofrenatum","IP","2021-06-27","141426.gpx",0.0713967100016352,17,NA,14,NA,8,3
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Spaurofrenatum","TP","2021-06-19","155228.gpx",0.480899223193048,17,NA,17,3,16,0
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Spviride","IP","2021-06-25","140238.gpx",0.185868087217832,17,NA,21,NA,10,4
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Spviride","TP","2021-05-23","112128.gpx",0.13029567977718,17,NA,30,5,43,13
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Spviride","TP","2021-05-23","125622.gpx",0.258657647489511,17,NA,30,5,43,13
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Spviride","TP","2021-07-17","141313.gpx",0.123798908075257,17,NA,30,5,12,13
"AQ","Sciseri","IP","2021-07-05","140152.gpx","AQ","Spviride","TP","2021-07-17","150703.gpx",0.26739465038549,17,NA,30,5,12,13
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Sciseri","NTP","2021-06-21","144917.gpx",0.161136276304632,18,NA,17,4,0,1
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Sciseri","TP","2021-06-22","115612.gpx",0.400809220771544,18,NA,18,7,1,0
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Sctaeniopterus","IP","2021-07-05","142629.gpx",0.246311569512165,18,NA,15,NA,14,3
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Sctaeniopterus","TP","2021-06-14","135125.gpx",0.28839093011693,18,NA,20,3,7,2
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Sctaeniopterus","TP","2021-06-14","141427.gpx",0.350567078741931,18,NA,21,4,7,3
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Sctaeniopterus","TP","2021-06-17","130527.gpx",0.184001213014065,18,NA,18,2,4,0
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Sctaeniopterus","TP","2021-06-17","135406.gpx",0.174153316462003,18,NA,19,2,4,1
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Scvetula","IP","2021-06-27","114320.gpx",0.10000439647506,18,NA,20,NA,6,2
